node  40, random: 0.65, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.24]
node  41, random: 0.76, exploitation, C, payoff: 2.0, current q table: [C: 0.39, D: 0.00]
node  42, random: 0.57, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  43, random: 0.44, exploitation, C, payoff: 3.0, current q table: [C: 0.68, D: 0.00]
node  44, random: 0.82, exploitation, C, payoff: 1.0, current q table: [C: 0.20, D: 0.00]
node  45, random: 0.66, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  46, random: 0.95, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  47, random: 0.73, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  48, random: 0.70, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  49, random: 0.27, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  50, random: 0.81, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  51, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  52, random: 0.38, exploitation, C, payoff: 4.0, current q table: [C: 0.69, D: 0.00]
node  53, random: 0.13, exploitation, C, payoff: 5.0, current q table: [C: 0.88, D: 0.00]
node  54, random: 0.07, exploration , C, payoff: 3.0, current q table: [C: 0.32, D: 0.36]
node  55, random: 0.00, None        , C, payoff: 7.0, current q table: [C: 0.00, D: 0.00]
node  56, random: 0.14, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.59]
node  57, random: 0.50, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.06]
node  58, random: 0.32, exploitation, C, payoff: 5.0, current q table: [C: 0.98, D: 0.00]
node  59, random: 0.03, exploration , C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  60, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node  61, random: 0.03, exploration , C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  62, random: 0.97, exploitation, D, payoff: 7.2, current q table: [C: 0.00, D: 1.30]
node  63, random: 0.83, exploitation, C, payoff: 5.0, current q table: [C: 0.88, D: 0.00]
node  64, random: 0.44, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.06]
node  65, random: 0.26, exploitation, C, payoff: 3.0, current q table: [C: 0.68, D: 0.00]
node  66, random: 0.95, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.06]
node  67, random: 0.02, exploration , D, payoff: 3.6, current q table: [C: 0.30, D: 0.38]
node  68, random: 0.13, exploitation, C, payoff: 6.0, current q table: [C: 1.18, D: 0.00]
node  69, random: 0.20, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  70, random: 0.36, exploitation, C, payoff: 5.0, current q table: [C: 1.08, D: 0.00]
node  71, random: 0.16, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  72, random: 0.62, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  73, random: 0.16, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.36]
node  74, random: 0.98, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  75, random: 0.27, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  76, random: 0.61, exploitation, C, payoff: 2.0, current q table: [C: 0.39, D: 0.00]
node  77, random: 0.63, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  78, random: 0.14, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.94]
node  79, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node  80, random: 0.76, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  81, random: 0.43, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.18]
node  82, random: 0.43, exploitation, C, payoff: 3.0, current q table: [C: 0.49, D: 0.00]
node  83, random: 0.33, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  84, random: 0.45, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  85, random: 0.23, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  86, random: 0.60, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.06]
node  87, random: 0.17, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  88, random: 0.05, exploration , C, payoff: 3.0, current q table: [C: 0.32, D: 0.36]
node  89, random: 0.53, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  90, random: 0.97, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.06]
node  91, random: 0.60, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  92, random: 0.10, exploitation, C, payoff: 4.0, current q table: [C: 0.69, D: 0.00]
node  93, random: 0.81, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.18]
node  94, random: 0.42, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  95, random: 0.05, exploration , C, payoff: 4.0, current q table: [C: 0.43, D: 0.48]
node  96, random: 0.03, exploration , C, payoff: 5.0, current q table: [C: 0.88, D: 0.00]
node  97, random: 0.48, exploitation, C, payoff: 3.0, current q table: [C: 0.49, D: 0.00]
node  98, random: 0.88, exploitation, C, payoff: 4.0, current q table: [C: 0.69, D: 0.00]
node  99, random: 0.00, None        , C, payoff: 9.0, current q table: [C: 0.00, D: 0.00]


node   0, random: 0.39, exploitation, C, payoff: 6.0, current q table: [C: 1.54, D: 0.00]
node   1, random: 0.22, exploitation, C, payoff: 5.0, current q table: [C: 1.44, D: 0.00]
node   2, random: 0.28, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node   3, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node   4, random: 0.20, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.73]
node   5, random: 0.56, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.38]
node   6, random: 0.36, exploitation, C, payoff: 3.0, current q table: [C: 0.86, D: 0.00]
node   7, random: 0.75, exploitation, C, payoff: 2.0, current q table: [C: 0.58, D: 0.00]
node   8, random: 0.24, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.73]
node   9, random: 0.35, exploitation, C, payoff: 3.0, current q table: [C: 0.86, D: 0.00]
node  10, random: 0.00, None        , C, payoff: 6.0, current q table: [C: 0.00, D: 0.00]
node  11, random: 0.25, exploitation, C, payoff: 3.0, current q table: [C: 0.86, D: 0.00]
node  12, random: 0.98, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.73]
node  13, random: 0.84, exploitation, C, payoff: 5.0, current q table: [C: 1.44, D: 0.00]
node  14, random: 0.85, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 1.04]
node  15, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  16, random: 0.62, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.38]
node  17, random: 0.00, None        , C, payoff: 7.0, current q table: [C: 0.00, D: 0.00]
node  18, random: 0.40, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node  19, random: 0.14, exploitation, C, payoff: 4.0, current q table: [C: 0.96, D: 0.00]
node  20, random: 0.83, exploitation, C, payoff: 5.0, current q table: [C: 1.25, D: 0.00]
node  21, random: 0.49, exploitation, C, payoff: 3.0, current q table: [C: 0.68, D: 0.00]
node  22, random: 0.04, exploration , C, payoff: 5.0, current q table: [C: 0.57, D: 1.18]
node  23, random: 0.40, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.38]
node  24, random: 0.75, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.69]
node  25, random: 0.28, exploitation, C, payoff: 2.0, current q table: [C: 0.58, D: 0.00]
node  26, random: 0.92, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.69]
